Country Name,Country Code,Year,Value
China,CHN,1990.0,917.270661782581
United States,USA,1990.0,39200.0658103964
China,CHN,1991.0,989.548540519036
United States,USA,1991.0,38637.8398159491
China,CHN,1992.0,1117.27329480169
United States,USA,1992.0,39447.9472847522
China,CHN,1993.0,1258.34946089635
United States,USA,1993.0,40002.4762262205
China,CHN,1994.0,1406.85845705008
United States,USA,1994.0,41106.9881841375
China,CHN,1995.0,1545.19429404212
United States,USA,1995.0,41710.8207239918
China,CHN,1996.0,1681.62743528935
United States,USA,1996.0,42783.8165710653
China,CHN,1997.0,1819.09789302268
United States,USA,1997.0,44151.6860411494
China,CHN,1998.0,1944.43719705771
United States,USA,1998.0,45596.4306860229
China,CHN,1999.0,2076.81812919622
United States,USA,1999.0,47234.2455275781
China,CHN,2000.0,2237.44298500334
United States,USA,2000.0,48616.2546267835
China,CHN,2001.0,2405.89396743215
United States,USA,2001.0,48597.4246130164
China,CHN,2002.0,2610.72960252379
United States,USA,2002.0,48967.3661209521
China,CHN,2003.0,2857.0373538115
United States,USA,2003.0,49905.5233079503
China,CHN,2004.0,3127.86276523632
United States,USA,2004.0,51348.3473392466
China,CHN,2005.0,3465.81734409951
United States,USA,2005.0,52649.5713058632
China,CHN,2006.0,3883.35412942474
United States,USA,2006.0,53596.3152369749
China,CHN,2007.0,4409.75700836878
United States,USA,2007.0,54152.8292653448
China,CHN,2008.0,4811.47471804961
United States,USA,2008.0,53703.9628962873
China,CHN,2009.0,5237.76666540352
United States,USA,2009.0,51863.6183424227
China,CHN,2010.0,5764.86534987407
United States,USA,2010.0,52812.682985453
China,CHN,2011.0,6275.90956436258
United States,USA,2011.0,53215.5362316915
China,CHN,2012.0,6723.19443752823
United States,USA,2012.0,54000.8410760833
China,CHN,2013.0,7198.06876478162
United States,USA,2013.0,54728.8601798884
China,CHN,2014.0,7686.57792954381
United States,USA,2014.0,55665.2411167663
China,CHN,2015.0,8175.33285077393
United States,USA,2015.0,56849.4697923159
China,CHN,2016.0,8679.37704460133
United States,USA,2016.0,57430.8499282527
China,CHN,2017.0,9221.51403820573
United States,USA,2017.0,58435.9707521832
China,CHN,2018.0,9798.6528523316
United States,USA,2018.0,59817.6556796969
China,CHN,2019.0,10356.4804194995
United States,USA,2019.0,61047.9648235152
China,CHN,2020.0,10573.6420059282
United States,USA,2020.0,59484.0335530935
China,CHN,2021.0,11469.5707134928
United States,USA,2021.0,62986.6563127547
China,CHN,2022.0,11830.5983703496
United States,USA,2022.0,64198.4324880296
China,CHN,2023.0,12484.1578844175
United States,USA,2023.0,65505.2557007675
