Country Name,Country Code,Year,gdp_per_capita,employment_rate,gdp_growth
China,CHN,1990.0,917.270661782581,,3.9416305983694
United States,USA,1990.0,39200.0658103964,,1.88596558335223
China,CHN,1991.0,989.548540519036,76.84,9.36170212784847
United States,USA,1991.0,38637.8398159491,60.58,-0.108312881913292
China,CHN,1992.0,1117.27329480169,76.38,14.2996108947926
United States,USA,1992.0,39447.9472847522,60.358,3.52249717698845
China,CHN,1993.0,1258.34946089635,75.663,13.9290780143689
United States,USA,1993.0,40002.4762262205,60.64,2.7517958662618
China,CHN,1994.0,1406.85845705008,75.027,13.0727091631599
United States,USA,1994.0,41106.9881841375,61.469,4.02902272603258
China,CHN,1995.0,1545.19429404212,74.47,11.0328121562746
United States,USA,1995.0,41710.8207239918,61.897,2.68443073360764
China,CHN,1996.0,1681.62743528935,73.891,9.97619992053447
United States,USA,1996.0,42783.8165710653,62.189,3.77277269138068
China,CHN,1997.0,1819.09789302268,73.315,9.2876465280865
United States,USA,1997.0,44151.6860411494,62.78,4.44712793805328
China,CHN,1998.0,1944.43719705771,72.807,7.92079207933551
United States,USA,1998.0,45596.4306860229,63.033,4.48313335029331
China,CHN,1999.0,2076.81812919622,72.293,7.7370030581299
United States,USA,1999.0,47234.2455275781,63.27,4.78842504949371
China,CHN,2000.0,2237.44298500334,71.771,8.58643201808462
United States,USA,2000.0,48616.2546267835,63.506,4.07758576006954
China,CHN,2001.0,2405.89396743215,71.07,8.31263887091522
United States,USA,2001.0,48597.4246130164,62.746,0.95553834188668
China,CHN,2002.0,2610.72960252379,70.444,9.24339326638321
United States,USA,2002.0,48967.3661209521,61.793,1.7004473278454
China,CHN,2003.0,2857.0373538115,69.891,10.1181928640117
United States,USA,2003.0,49905.5233079503,61.314,2.79560596521233
China,CHN,2004.0,3127.86276523632,69.652,10.1314073631003
United States,USA,2004.0,51348.3473392466,61.407,3.84777169424153
China,CHN,2005.0,3465.81734409951,69.323,11.458238455067
United States,USA,2005.0,52649.5713058632,61.742,3.48354993544559
China,CHN,2006.0,3883.35412942474,69.078,12.6746751655235
United States,USA,2006.0,53596.3152369749,62.162,2.78453963817891
China,CHN,2007.0,4409.75700836878,68.824,14.1499854947127
United States,USA,2007.0,54152.8292653448,61.99,2.00385829909158
China,CHN,2008.0,4811.47471804961,68.337,9.67024588602851
United States,USA,2008.0,53703.9628962873,61.226,0.113587248160997
China,CHN,2009.0,5237.76666540352,67.929,9.40269972778044
United States,USA,2009.0,51863.6183424227,58.412,-2.57650023225001
China,CHN,2010.0,5764.86534987407,67.746,10.5962719761682
United States,USA,2010.0,52812.682985453,57.592,2.69519258234851
China,CHN,2011.0,6275.90956436258,67.636,9.4613358870736
United States,USA,2011.0,53215.5362316915,57.574,1.56440685537306
China,CHN,2012.0,6723.19443752823,67.185,7.85617427055587
United States,USA,2012.0,54000.8410760833,58.017,2.289113386319
China,CHN,2013.0,7198.06876478162,66.751,7.77872409446717
United States,USA,2013.0,54728.8601798884,58.108,2.11783009786468
China,CHN,2014.0,7686.57792954381,66.425,7.46190028229434
United States,USA,2014.0,55665.2411167663,58.595,2.52381981372621
China,CHN,2015.0,8175.33285077393,66.078,6.97878002657477
United States,USA,2015.0,56849.4697923159,58.979,2.94555045599772
China,CHN,2016.0,8679.37704460133,65.739,6.77555562837017
United States,USA,2016.0,57430.8499282527,59.391,1.81945147620522
China,CHN,2017.0,9221.51403820573,65.295,6.8912663621211
United States,USA,2017.0,58435.9707521832,59.824,2.45762230175086
China,CHN,2018.0,9798.6528523316,64.887,6.75671800166833
United States,USA,2018.0,59817.6556796969,60.153,2.96650506916596
China,CHN,2019.0,10356.4804194995,64.307,6.06850235053705
United States,USA,2019.0,61047.9648235152,60.542,2.58382533018889
China,CHN,2020.0,10573.6420059282,62.678,2.34018843078414
United States,USA,2020.0,59484.0335530935,56.598,-2.16302913866512
China,CHN,2021.0,11469.5707134928,64.056,8.57008513166322
United States,USA,2021.0,62986.6563127547,58.211,6.05505293304556
China,CHN,2022.0,11830.5983703496,62.523,3.1341888719577
United States,USA,2022.0,64198.4324880296,59.539,2.5123753198332
China,CHN,2023.0,12484.1578844175,62.756,5.41484330099675
United States,USA,2023.0,65505.2557007675,59.821,2.88755600905984
