,Country Name,iso3,year,gdp_per_capita,employment_rate,gdp_growth
count,68,68,68.0,68.0,66.0,68.0
unique,2,2,,,,
top,China,CHN,,,,
freq,34,34,,,,
mean,,,2006.5,28316.09609816615,64.79583333333335,5.663084455461564
std,,,9.883651509648603,24045.194086251184,5.398997068069741,3.9860735712068975
min,,,1990.0,917.270661782581,56.598,-2.57650023225001
25%,,,1998.0,4278.15628863277,60.595,2.6592793827529526
50%,,,2006.5,25560.9988501833,62.9065,4.465130644173295
75%,,,2015.0,52690.349225760656,68.70224999999999,8.750672330159269
max,,,2023.0,65505.2557007675,76.84,14.2996108947926
